Risk,Potential Impact,Measurable Driver
Crude Supply Risk,High,Crude availability and import logistics
Execution and Commissioning Risk,High,Expansion milestones and commissioning timing
Expansion Funding Risk,High,Remaining expansion spending of about $11.8B
Foreign Exchange Risk,High,NGN/USD movement
Refining Margin Normalisation,High,GRM versus mid-cycle conditions
Interest Rate and Debt Cost,Medium,Financing costs and refinancing
Product Price and Demand Risk,Medium,Product prices and volumes
Related-Party Transactions,Medium,Related-party exposures and disclosures
Tax Regime Transition,High,Domestic customs-territory sales and tax treatment
Valuation Multiple Risk,High,Market multiple applied to sustainable earnings
