Period,Product,Volume MT,Avg Realised Price USD/MT,Revenue USD bn,Share of Revenue,Source
2025,PMS,6730600,733,4.93632,0.4,DPRP prospectus p.89
2025,AGO,4022200,686,2.758308,0.224,DPRP prospectus p.89
2025,Jet fuel,4226600,690,2.916209,0.236,DPRP prospectus p.89
2025,RCO,,,1.351298,0.11,DPRP prospectus p.89
H1 2026,PMS,6061300,975,5.910704,0.4249391298671393,DPRP prospectus p.86
H1 2026,AGO,2856800,1225,3.498709,0.2515332112923146,DPRP prospectus p.86
H1 2026,Jet fuel,3021000,1092,3.2981,0.2371107983439557,DPRP prospectus p.86
H1 2026,RCO,,,0.871516,0.06265603060232584,DPRP prospectus p.86
H1 2026,Polypropylene,,,0.101652,0.007308082493938869,DPRP prospectus p.86
H1 2026,CBFS,,,0.153848,0.01106061735654495,DPRP prospectus p.86
H1 2026,LPG,,,0.067918,0.004882838968474208,DPRP prospectus p.86
H1 2026,Propane,,,0.007084,0.000509291075306565,DPRP prospectus p.86
